Wijk2025;wijknaam2025
011861;Wijk 61 Zuideropgaande Nieuw Moscou
011862;Wijk 62 Industrie- en verspreide gebieden
011900;Centrum
011901;Watertoren
011902;Haveltermade
011903;Koedijkslanden
011904;Berggierslanden
011905;Ezinge
011906;Oosterboer
011907;Nieuwveenselanden
011908;Blankenstein
011909;Industrieterrein Noord
011910;Industrie Oevers
011911;Verspreid gebied Meppel
011912;Nijeveen
011913;Rogat
014110;Binnenstad
014111;De Riet
014112;Noorderkwartier
014113;Sluitersveld
014114;Wierdense Hoek
014115;Nieuwstraat-Kwartier
014116;Ossenkoppelerhoek
014117;Hofkamp
014118;Schelfhorst
014119;Windmolenbroek
014120;Aadorp
014121;Bornerbroek
014700;Wijk 00 Borne
014701;Wijk 01 Buitengebied Borne
014801;Dalfsen
014802;Nieuwleusen
014803;Lemelerveld
015001;Binnenstad
015002;De Hoven
015003;Zandweerd
015004;Voorstad
015005;Borgele en Platvoet
015006;Keizerslanden
015007;Rivierenwijk en Bergweide
015008;Colmschate-Noord
015009;Colmschate-Vijfhoek
015010;Colmschate-Zuid
015011;Diepenveen
015012;Schalkhaar
015013;Okkenbroek
015014;Lettele
015015;Bathmen
015300;Wijk 00 Binnensingelgebied
015301;Wijk 01 Hogeland - Velve
015302;Wijk 02 Boswinkel - Stadsveld
015303;Wijk 03 Twekkelerveld - T.H.T.
015304;Wijk 04 Enschede-Noord
015305;Wijk 05 Ribbelt - Stokhorst
015306;Wijk 06 Enschede-Zuid
015307;Wijk 07 Bedrijfsterreinen Enschede-West
015308;Wijk 08 Glanerbrug en omgeving
015309;Wijk 09 Landelijk gebied en kernen
015800;Wijk 00 Haaksbergen (dorp)
015801;Wijk 01 Haaksbergen (buitengebied)
015802;Wijk 02 Sint Isidorushoeve
015803;Wijk 03 Buurse
015804;Wijk 04 Rietmolen
015805;Wijk 05 Hengevelde
015806;Wijk 06 Beckum
015809;Wijk 09 Haaksbergen-kern
016001;Ane
016002;Anerveen
016003;Anevelde
016004;Balkbrug
016005;Bergentheim
016006;Brucht
016007;Collendoorn
016008;De Krim
016009;Dedemsvaart
016010;Den Velde
016011;Diffelen
016012;Gramsbergen
016013;Heemserveen
016014;Holtheme
016015;Holthone
016016;Hoogenweg
016017;Kloosterhaar
016018;Loozen
016019;Lutten
016020;Marienberg
016021;Radewijk
016022;Rheeze
016023;Rheezerveen
016024;Schuinesloot
016025;Sibculo
016026;Slagharen
016027;Venebrugge
016028;Hardenberg
016029;Bruchterveld
016301;Wijk 01 Hellendoorn
016302;Wijk 02 Nijverdal Noord
016303;Wijk 03 Nijverdal West
016304;Wijk 04 Nijverdal Oost
016305;Wijk 05 Buitengebied
016306;Wijk 06 Kruidenwijk
016307;Wijk 07 Haarle
016308;Wijk 08 Daarle
016309;Wijk 09 Daarlerveen
016400;Binnenstad
016401;Hengelose Es
016402;Noord
016403;Hasseler Es
016404;Groot Driene
016405;Berflo Es
016406;Wilderinkshoek
016407;Woolde
016408;Slangenbeek
016409;Buitengebied
016600;Kampen
016602;Reeve
016603;IJsselmuiden
016604;Zalk
016605;Wilsum
016606;Grafhorst
016607;Kamperveen
016608;'s-Heerenbroek
016609;Mastenbroek
016699;Groot water
016800;Wijk 00 Losser
016801;Wijk 01 Glane
016802;Wijk 02 Overdinkel
016803;Wijk 03 De Lutte
016804;Wijk 04 Beuningen
017101;Wijk 01 Emmeloord
017102;Wijk 02 Bant
017103;Wijk 03 Luttelgeest
017104;Wijk 04 Marknesse
017105;Wijk 05 Kraggenburg
017106;Wijk 06 Ens
017107;Wijk 07 Nagele
017108;Wijk 08 Tollebeek
017109;Wijk 09 Espel
017110;Wijk 10 Creil
017111;Wijk 11 Rutten
017112;Wijk 12 Schokland
017199;Groot water
017301;Wijk 01 Binnenstad
017302;Wijk 02 Het Inslag-De Kleies
017303;Wijk 03 Glinde-Hooiland
017304;Wijk 04 De Meijbree
017305;Wijk 05 Haerbroek-Scholtenhoek
017306;Wijk 06 Zuid-Berghuizen
017307;Wijk 07 Hanzepoort
017308;Wijk 08 Eekte-Hazewinkel
017309;Wijk 09 Jufferbeek
017310;Wijk 10 Het Hulsbeek
017311;Wijk 11 De Thij
017312;Wijk 12 De Graven Es
017313;Wijk 13 De Essen
017314;Wijk 14 Bekspring
017501;Ommen
017502;Arrien
017503;Beerze
017504;Beerzerveld
017505;Dalmsholte
017506;Giethmen
017507;Lemele
017508;Stegeren
017509;Vilsteren
017510;Vinkenbuurt
017511;Witharen
017701;Raalte
017702;Luttenberg
017703;Mariënheem
017704;Nieuw Heeten
017705;Heeten
017706;Broekland
017707;Heino
017708;Lierderholthuis
017709;Laag Zuthem
018000;Staphorst (kern)
018001;Rouveen (kern)
018002;Rouveen (buitengebied)
018003;Staphorst (buitengebied)
018004;IJhorst
018005;Punthorst
018300;Wijk 00 Tubbergen
018301;Wijk 01 Albergen
018302;Wijk 02 Harbrinkhoek
018303;Wijk 03 Geesteren
018304;Wijk 04 Langeveen
018305;Wijk 05 Vasse
018306;Wijk 06 Reutum
018307;Wijk 07 Fleringen
018308;Wijk Mariaparochie
018309;Wijk Manderveen
018310;Wijk Mander
018311;Wijk Hezingen
018312;Wijk Haarle
018400;Wijk 00 Urk
018499;Groot water
018900;Wijk 00 Wierden (kern)
018901;Wijk 01 Landelijk gebied Wierden
018902;Wijk 02 Hooge-Hexel
018903;Wijk 03 Enter (kern)
018904;Wijk 04 Landelijk gebied Enter
018905;Wijk 05 Rectum - Notter - Zuna
019310;Wijk 10 Binnenstad
019311;Wijk 11 Diezerpoort
019312;Wijk 12 Wipstrik
019313;Wijk 13 Assendorp
019314;Wijk 14 Kamperpoort-Veerallee
019320;Wijk 20 Poort van Zwolle
019321;Wijk 21 Westenholte
019322;Wijk 22 Stadshagen
019330;Wijk 30 Holtenbroek
019331;Wijk 31 Aa-landen
019332;Wijk 32 Vechtlanden
019340;Wijk 40 Berkum
019341;Wijk 41 Marsweteringlanden
019350;Wijk 50 Schelle
019351;Wijk 51 Ittersum
019352;Wijk 52 Soestweteringlanden
019701;Wijk 01 Buitengebied Aalten
019702;Wijk 02 Bredevoort
019703;Wijk 03 Aalten Kern
019704;Wijk 04 Dinxperlo
020001;Centrum
020002;West
020003;Zuidwest
020004;Zuid
020005;Zuidoost
020006;Oost
020007;Noordoost
020008;Noord
020010;Uddel en omgeving
020011;Hoog Soeren en Radio Kootwijk
020012;Hoenderloo en omgeving
020013;Loenen en omgeving
020014;Beekbergen en omgeving
020015;Lieren en omgeving
020016;Klarenbeek en omgeving
020017;Wenum Wiesel Beemte
020201;Centrum
020202;Spijkerkwartier
020203;Arnhemse Broek
020204;Presikhaaf-West
020205;Presikhaaf-Oost
020206;St. Marten/Sonsbeek
020207;Klarendal
020208;Velperweg e.o.
020209;Alteveer/Cranevelt
020210;Geitenkamp
020211;Monnikenhuizen
020212;Burgemeesterswijk/Hoogkamp
020213;Schaarsbergen
020214;Heijenoord/Lombok
020215;Klingelbeek e.o.
020216;Malburgen-West
020217;Malburgen-Oost (Noord)
020218;Malburgen-Oost (Zuid)
020219;Vredenburg/Kronenburg
020220;Elden
020221;Elderveld
020222;De Laar
020223;Rijkerswoerd
020224;Schuytgraaf
020354;Wijk 54 Barneveld
020355;Wijk 55 Voorthuizen
020356;Wijk 56 Kootwijkerbroek
020357;Wijk 57 Garderen
020358;Wijk 58 Terschuur
020359;Wijk 59 Stroe
020360;Wijk 60 Zwartebroek
020361;Wijk 61 De Glind
020362;Wijk 62 Kootwijk
020363;Wijk 63 Achterveld
020901;Beuningen
020902;Ewijk
020903;Weurt
020904;Winssen
021301;Empe
021302;Tonden
021303;Brummen
021304;Leuvenheim
021305;Hall
021306;Eerbeek
021400;Wijk 00 Buren
021401;Wijk 01 Beusichem
021402;Wijk 02 Zoelen
021403;Wijk 03 Lienden
021404;Wijk 04 Ingen
021405;Wijk 05 Maurik
021406;Wijk 06 Ravenswaaij
021600;Culemborg Oost
021601;Culemborg West
022101;Wijk 01
022201;Centrum
022202;Overstegen
022203;Schoneveld
022204;Oosseld / Vijverberg
022205;Verheulsweide (bedrijventerrein)
022206;De Huet
022207;Dichteren / De Hoop / Wijnbergen
022208;Keppelseweg (bedrijventerrein)
022209;Bezelhorst / De Kruisberg / Ijkenberg
022211;Gaanderen
022231;Wehl / Nieuw Wehl
022500;Druten Buitengebied
022501;Druten
022502;Druten Zuid
022503;Deest
022504;Afferden
022505;Puiflijk
022506;Horssen
022601;Wijk 01 Bedrijventerrein
022602;Wijk 02 Buitengebied
022603;Wijk 03 Duiven-Noord
022604;Wijk 04 Duiven-Zuid
022605;Wijk 05 Groessen
022606;Wijk 06 Loo
022801;Ede-Oost
022802;Ede-West
022803;Ede-Veldhuizen
022804;Kernhem
022805;Veluwse Poort
022810;Ede-Zuid
022811;Maandereng
022812;Rietkampen
022813;Bedrijventerrein
022820;Buitengebied Ede-Stad
022830;Bennekom
022840;Lunteren
022850;Ederveen
022860;De Klomp
022870;Harskamp
022880;Wekerom
022890;Otterlo
023001;Wijk 01 Elburg
023002;Wijk 02 't Harde
023003;Wijk 03 Doornspijk
023099;Groot water
023200;Wijk 00 Epe
023201;Wijk 01 Emst
023202;Wijk 02 Vaassen
023203;Wijk 03 Oene
023300;Schil rondom het centrum
023301;Centrum Ermelo
023302;Tonsel en Veldzicht
023303;Buitengebied west
023304;Buitengebied midden
023305;Buitengebied oost
023399;Groot water
024301;Binnenstad
024302;Waterfront
024303;Zeebuurt
024304;Friesegracht
024305;Stadsdennen
024306;De Sypel
024307;Stationsomgeving
024308;Stadsweiden
024309;Slingerbos
024310;Tweelingstad
024311;Frankrijk
024312;Drielanden
024313;Industrieterrein Lorentz
024314;Buitengebied Harderwijk
024315;Hierden
024399;Groot water
024400;Wijk 00 Hattem
024401;Wijk 01 Polder Hattem en Molecaten
024600;Wijk 00 Heerde
024601;Wijk 01 Wapenveld
025200;Wijk 00 Heumen
025201;Wijk 01 Overasselt
026200;Wijk 00 Lochem kern
026201;Wijk 01 Lochem buitengebied
026202;Wijk 02 Laren
026203;Wijk 03 Barchem
026204;Wijk 04 Gorssel
026205;Wijk 01 Almen-Harfsen
026300;Wijk 00 Kerkdriel
026301;Wijk 01 Ammerzoden
026302;Wijk 02 Hedel
026303;Wijk 03 Heerewaarden
026304;Wijk 04 Rossum
026701;Nijkerk-stad
026702;Appel, Driedorp, Kruishaar, Prinsenkamp en Slichtenhorst
026703;Nijkerkerveen en Holkerveen
026704;Arkemheen, Achterhoek, De Veenhuis
026705;Hoevelaken
026799;Groot water
026801;Nijmegen-Centrum
026802;Nijmegen-Oost
026803;Nijmegen-Oud-West
026804;Nijmegen-Nieuw-West
026805;Nijmegen-Midden
026806;Nijmegen-Zuid
026807;Dukenburg
026808;Lindenholt
026809;Nijmegen-Noord
026900;Wijk 00 Oldebroek
026901;Wijk 01 Wezep
026902;Wijk 02 Oosterwolde
026999;Groot water
027300;Wijk 00 Putten
027301;Wijk 01 Bosgebied en Krachtighuizen
027399;Groot water
027401;Renkum Zuid
027402;Renkum Noord
027403;Heelsum ten westen van de rijksweg
027404;Heelsum ten oosten van de rijksweg
027405;Wolfheze ten zuiden van het spoor
027406;Wolfheze ten noorden van het spoor
027407;Buitengebied Doorwerth
027408;Bebouwde kom Doorwerth
027409;Heveadorp
027410;Oosterbeek West
027411;Oosterbeek Zuidoost
027412;Oosterbeek Noordoost
027500;Wijk 00 Dieren
027501;Wijk 01 Rheden
027502;Wijk 02 Velp
027700;Wijk 00
027900;Wijk 00
028100;Tiel kern
028101;Tiel-Noord
028102;Wadenoijen en Kapel Avezaath
028103;Tiel-Zuid
028501;Nijbroek
028502;Terwolde
028503;De Vecht
028504;Teuge
028505;Twello
028506;Steenenkamer
028507;Wilp-Achterhoek
028508;Posterenk
028509;Wilp
028510;Klarenbeek
028511;Bussloo
028512;Voorst
028901;Noordwest
028902;Wageningen Universiteit
028903;De Weiden en Boomgaarden
028904;De Horsten
028905;Kortenoord
028906;De Buurt
028907;Boven- en Benedenbuurt
028908;Nude
028909;Centrum
028910;Veluvia-Hamelakkers
028911;Wageningen-Hoog
028912;Buitengebied
029300;Wijk 00
029400;Wijk 00 Stad
029401;Wijk 01 Land
029600;Wijk 00 Wijchen buitengebied
029601;Wijk 01 Wijchen kern
029602;Wijk 02 Balgoij
029603;Wijk 03 Batenburg
029604;Wijk 04 Bergharen
029605;Wijk 05 Hernen
029606;Wijk 06 Leur
029607;Wijk 07 Niftrik
029608;Wijk 08 Alverna
029700;Wijk 00 Zaltbommel
029701;Wijk 01 Brakel
029702;Wijk 02 Kerkwijk
029703;Wijk 03 Nederhemert
029900;Zevenaar
029901;Babberich
029902;Angerlo
029903;Giesbeek
029904;Lathum
029905;Rijnstrangen
029906;Pannerden
029907;Aerdt
029908;Herwen
029909;Lobith
029910;Tolkamer
029911;Spijk
030100;Wijk 00 Centrum - De Hoven
030101;Wijk 01 Waterkwartier
030102;Wijk 02 Noordveen
030103;Wijk 03 Zuidwijken
030104;Wijk 04 Leesten
030105;Wijk 05 Warnsveld
030200;Wijk 00 Nunspeet
030201;Wijk 01 Elspeet-Vierhouten
030299;Groot water
030301;Wijk 01 Dronten west
030302;Wijk 02 Dronten Noord
030303;Wijk 03 Dronten Midden
030304;Wijk 04 Dronten Zuid
030305;Wijk 05 Buitengebied Dronten
030306;Wijk 06 Biddinghuizen
030307;Wijk 07 Swifterbant
030399;Groot water
030701;Stadskern
030702;Nederberg
030703;Soesterkwartier
030704;Eemkwartier
030705;Isselt
030706;De Koppel
030707;Kruiskamp
030708;Schothorst-Zuid
030709;Schothorst-Noord
030710;Liendert
030711;Rustenburg
030712;Buitengebied-Oost
030713;Schuilenburg
030714;Randenbroek
030715;Vermeerkwartier
030716;Leusderkwartier
030717;De Berg-Zuid
030718;De Berg-Noord
030719;Hoogland
030720;Zielhorst
030721;Kattenbroek
030722;Calveen
030724;Nieuwland
030725;De Hoef
030726;Hooglanderveen
030727;Hoogland-West
030728;Vathorst-De Velden
030729;Vathorst-Centrum
030730;Vathorst-De Bron
030731;Vathorst-De Laak
030732;Vathorst-Bovenduist
030733;Bedrijventerrein Vathorst
030734;Bosgebied
030800;Wijk 00 Baarn
030801;Wijk 01 Baarn-Noord, Eemdal en Eemland
030802;Wijk 02 P.H.W.park
030804;Wijk 04 Buitengebied
030805;Wijk 05 Lage Vuursche
031001;Westbroek
031002;Hollandsche Rading
031003;Maartensdijk
031004;Groenekan
031005;De Leijen
031006;Bilthoven Noord
031007;Bilthoven Zuid Oost
031008;Bilthoven Zuid West
031009;De Bilt West
031010;De Bilt Oost
031200;Wijk 00 Bunnik
031201;Wijk 01 Odijk
031202;Wijk 02 Werkhoven
031300;Wijk 00
031399;Groot water
031702;Eemnes
031799;Groot water
032110;Houten Noord-West
032111;Houten Noord-Oost
032112;Houten Zuid-West
032113;Houten Zuid-Oost
032120;Houten Buitengebied
032130;'t Goy
032131;'t Goy Buitengebied
032140;Tull en 't Waal
032141;Tull en 't Waal Buitengebied
032150;Schalkwijk
032151;Schalkwijk Buitengebied
032700;Wijk 00 Leusden-Centrum Oost
032701;Wijk 01 Leusden-Centrum West
032702;Wijk 02 Leusden-Zuid
032703;Wijk 03 Achterveld
032704;Wijk 04 Stoutenburg
032705;Wijk 05 't Ruige Veld
033100;Wijk 00 Lopik, Benschop en Polsbroek
033500;Wijk 00
033501;Wijk 01 Linschoten
033502;Wijk 02 Willeskop
033900;Wijk 00
034000;Wijk 00 Rhenen
034001;Wijk 01 Rhenen Oost
034002;Wijk 02 Rhenen West
034003;Wijk 03 Rhenen Noord
034004;Wijk 04 Grebbeberg
034005;Wijk 05 Randzone
034006;Wijk 06 Binnenveld
034007;Wijk 07 Achterberg
034008;Wijk 08 Uiterwaarden Rhenen
034009;Wijk 09 Remmerden
034010;Wijk 10 Heuvelrug Rhenen
034011;Wijk 11 Heuvelrug Elst
034012;Wijk 12 Uiterwaarden Elst
034013;Wijk 13 Elst
034201;Wijk 01 't Hart-Soestdijk
034202;Wijk 02 Klaarwater
034203;Wijk 03 Boerenstreek
034204;Wijk 04 de Eng-Soest-Midden
034205;Wijk 05 Smitsveen
034206;Wijk 06 Overhees
034207;Wijk 07 Soest-Zuid
034208;Wijk 08 Soesterberg
034401;Wijk 01 West
034402;Wijk 02 Noordwest
034403;Wijk 03 Overvecht
034404;Wijk 04 Noordoost
034405;Wijk 05 Oost
034406;Wijk 06 Binnenstad
034407;Wijk 07 Zuid
034408;Wijk 08 Zuidwest
034409;Wijk 09 Leidsche Rijn
034410;Wijk 10 Vleuten-De Meern
034500;Centrum
034501;Noordoost
034502;Zuidoost
034503;Zuidwest
034504;Noordwest
034505;West
035100;Wijk 00 Woudenberg
035200;Wijk 00 Wijk bij Duurstede
035201;Wijk 01 Landelijk gebied
035202;Wijk 02 Cothen
035203;Wijk 03 Langbroek
035300;Wijk 00 IJsselstein
035501;Zeist Centrum
035502;Zeist-Noord
035503;Zeist-West
035504;Zeist-Oost
035505;Den Dolder e.o.
035601;Jutphaas Wijkersloot
035602;Zuilenstein
035603;Batau Zuid
035604;Batau Noord
035605;Doorslag
035606;Huis de Geer
035607;Blokhoeve
035608;Galecop
035610;Fokkesteeg
035611;Hoogzandveld
035612;Lekboulevard
035613;Vreeswijk
035614;Merwestein
035615;Park Oudegein
035616;Zandveld
035618;Het Klooster
035620;Laagraven
035621;Plettenburg
035622;De Wiers
035623;Hoge Landen
035624;Stadscentrum
035625;Rijnhuizen
035800;Wijk 00 Aalsmeer
035801;Wijk 01 Kudelstraat en Kalslagen
035802;Wijk 02 Oosteinde
036101;Zuid
036102;Oudorp
036103;Overdie
036104;West
036105;Huiswaard
036106;De Mare
036107;Daalmeer/Koedijk
036108;Centrum
036109;Schermer
036110;Graft-De Rijp
036111;Vroonermeer
036201;Randwijck
036202;Patrimonium
036203;Elsrijk
036204;Stadshart
036205;Uilenstede, Kronenburg
036206;Bankras, Kostverloren
036207;Buitengebied Noord
036208;Keizer Karelpark
036209;Groenelaan
036210;Waardhuizen, Middenhoven
036211;Bovenkerk - Westwijk Noord
036212;Westwijk Zuid
036213;Buitengebied Zuid
036214;Amsterdamse Bos
036399;Groot water
037301;Wijk 01 Bergen Binnen
037302;Wijk 02 Bergen aan Zee
037303;Wijk 03 Buitengebied Bergen
037304;Wijk 04 Egmond aan Zee
037305;Wijk 05 Egmond-Binnen
037306;Wijk 06 Egmond aan den Hoef
037307;Wijk 07 Schoorl
037399;Groot water
037500;Centrum
037501;Vondelkwartier
037502;Oranjebuurt
037503;Kuenenkwartier
037504;Warande
037505;Noordwestelijk tuinbouwgebied
037506;Oosterwijk en Zwaansmeer
037507;Meerestein
037508;Wijk aan Zee
037509;de Pijp en Wijkerbroek
037510;Broekpolder
037599;Groot water
037601;Blaricum
037699;Groot water
037700;Wijk 00 Bloemendaal
037701;Wijk 01 Overveen
037702;Wijk 02 Aerdenhout
037703;Wijk 03 Vogelenzang
037704;Wijk 04 Bennebroek
037799;Groot water
038300;Wijk 00 Centrum
038301;Wijk 01 Castricum-Noord
038302;Wijk 02 Castricum-Oost
038303;Wijk 03 Castricum-Zuid
038304;Wijk 04 Bakkum
038305;Wijk 05 Akersloot
038306;Wijk 06 De Woude
038307;Wijk 07 Limmen
038399;Groot water
038401;Diemen Noord
038402;Diemen Centrum
038403;Diemen Zuid
038404;Bergwijkpark
038405;Holland Park
038406;Bedrijventerreinen
038407;Plantage de Sniep
038408;Buitengebied
038499;Groot water
038500;Wijk 00 Edam
038501;Wijk 01 Purmer
038502;Wijk 02 Volendam
038503;Wijk 03 Beets
038504;Wijk 04 Oosthuizen
038505;Wijk 05 Warder
038506;Wijk 06 Middelie
038507;Wijk 07 Kwadijk
038508;Wijk 08 Schardam
038509;Wijk 09 Hobrede
038599;Groot water
038800;Centrum en Havens
038801;Enkhuizen Noord
038802;Enkhuizen Buitengebied
038803;Enkhuizen Zuid
038810;Buitengebied IJsselmeer en Markermeer
038899;Groot water
039201;Oude Stad
039202;Haarlemmerhoutkwartier
039203;Zijlwegkwartier
039204;Houtvaartkwartier
039205;Duinwijk
039206;Waarder- en Veerpolder
039207;Amsterdamsewijk
039208;Slachthuiswijk
039209;Parkwijk
039210;Transvaalwijk
039211;Indischewijk
039212;Ter Kleefkwartier
039213;Te Zaanenkwartier
039214;Vogelenwijk
039215;Delftwijk
039216;Vondelkwartier
039217;Spaarndam
039218;Europawijk
039219;Boerhaavewijk
039220;Molenwijk
039221;Meerwijk
039401;Hoofddorp
039402;Nieuw-Vennep
039403;Zwanenburg
039404;Lijnden / Boesingheliede
039405;Badhoevedorp
039406;Aalsmeerderbrug/ Oude Meer/ Rozenburg / Schiphol Rijk
039407;Rijsenhout
039408;Burgerveen / Leimuiderbrug / Weteringbrug
039409;Abbenes / Buitenkaag
039410;Lisserbroek
