Gemeente2025;Gemeentenaam2025
1730;Tynaarlo
1731;Midden-Drenthe
1734;Overbetuwe
1735;Hof van Twente
1740;Neder-Betuwe
1742;Rijssen-Holten
1771;Geldrop-Mierlo
1773;Olst-Wijhe
1774;Dinkelland
1783;Westland
1842;Midden-Delfland
1859;Berkelland
1876;Bronckhorst
1883;Sittard-Geleen
1884;Kaag en Braassem
1891;Dantumadiel
1892;Zuidplas
1894;Peel en Maas
1895;Oldambt
1896;Zwartewaterland
1900;Súdwest-Fryslân
1901;Bodegraven-Reeuwijk
1903;Eijsden-Margraten
1904;Stichtse Vecht
1911;Hollands Kroon
1916;Leidschendam-Voorburg
1924;Goeree-Overflakkee
1926;Pijnacker-Nootdorp
1930;Nissewaard
1931;Krimpenerwaard
1940;De Fryske Marren
1942;Gooise Meren
1945;Berg en Dal
1948;Meierijstad
1949;Waadhoeke
1950;Westerwolde
1952;Midden-Groningen
1954;Beekdaelen
1955;Montferland
1959;Altena
1960;West Betuwe
1961;Vijfheerenlanden
1963;Hoeksche Waard
1966;Het Hogeland
1969;Westerkwartier
1970;Noardeast-Fryslân
1978;Molenlanden
1979;Eemsdelta
1980;Dijk en Waard
1982;Land van Cuijk
1991;Maashorst
1992;Voorne aan Zee
